time_label,predicted_PM_5,predicted_PM_steam5,actual_PM_5,actual_PM_steam5
2024-06-25 19:00:00,43583.043,117.08104,39715.2,103.172866058
2024-06-25 19:05:00,43751.418,122.035126,40066.2,107.496474456
2024-06-25 19:10:00,43967.297,121.68188,40255.8,108.581495282
2024-06-25 19:15:00,43874.113,123.98825,40159.8,111.345441436
2024-06-25 19:20:00,43851.395,123.829254,40295.4,111.448031996
2024-06-25 19:25:00,44172.25,122.80098,41188.0,110.58281288
2024-06-25 19:30:00,44028.113,122.28435,41000.6,109.41543885000002
2024-06-25 19:35:00,44180.785,121.38525,41415.2,107.995799638
2024-06-25 19:40:00,43831.277,122.11534,41244.0,108.952369308
2024-06-25 19:45:00,43745.7,122.37147,41094.0,109.434612658
2024-06-25 19:50:00,43964.168,123.68682,41242.6,111.578671648
2024-06-25 19:55:00,43660.484,125.94866,41007.0,116.704109572
2024-06-25 20:00:00,43496.07,128.21638,41316.0,128.632695768
2024-06-25 20:05:00,42898.473,127.889275,40916.8,125.876576618
2024-06-25 20:10:00,42861.863,125.7473,40972.2,116.274344254
2024-06-25 20:15:00,43247.992,126.1315,41255.4,117.021480178
2024-06-25 20:20:00,43380.082,125.259926,41401.4,117.284751512
2024-06-25 20:25:00,43283.4,125.22313,41173.0,116.37780304
2024-06-25 20:30:00,43139.684,126.187485,41055.8,118.090607836
2024-06-25 20:35:00,43216.07,125.96145,41131.2,118.07774582
2024-06-25 20:40:00,43306.406,126.30091,41343.8,119.752451706
2024-06-25 20:45:00,43238.168,126.73418,41206.4,120.571324918
2024-06-25 20:50:00,43300.68,125.660866,41285.2,117.519911954
2024-06-25 20:55:00,43349.03,126.54044,41348.2,118.678213884
2024-06-25 21:00:00,44103.58,129.32909,40969.4,120.410000998
2024-06-25 21:05:00,44004.24,129.5602,41055.4,121.007961274
2024-06-25 21:10:00,43830.062,129.88525,40845.4,120.78017578
2024-06-25 21:15:00,43915.777,127.834145,40845.6,116.23270378
2024-06-25 21:20:00,43819.41,119.11673,40854.4,104.23457279
2024-06-25 21:25:00,42168.582,92.88103,39085.2,80.3476580632
2024-06-25 21:30:00,39390.582,94.93829,37978.4,79.5144405376
2024-06-25 21:35:00,37470.645,89.439674,36683.8,81.4897230156
2024-06-25 21:40:00,37174.266,89.90736,36530.2,84.23155536600001
2024-06-25 21:45:00,36378.91,88.90076,35862.0,85.546019556
2024-06-25 21:50:00,36241.69,91.57052,35368.8,87.323723986
2024-06-25 21:55:00,37341.08,95.80996,35106.2,89.30481300599999
2024-06-25 22:00:00,37925.17,97.030266,35378.0,87.76367912399999
